Band Number, Nominal Center Wavelength (int), Center Wavelength, Width (FWHM), Solar Irradiance, Rayleigh Optical Thickness, Depolarization Factor, k_oz (Ozone), k_no2 (NO2)
, nm, nm, nm, W/m^2/um/sr,,,,
136, 643,     643.479,       4.925,    1606.206,   5.112E-02,   2.797E-02,   7.339E-02,   1.848E-20
137, 645,     644.716,       4.976,    1601.035,   5.073E-02,   2.796E-02,   7.176E-02,   1.919E-20
138, 646,     645.966,       4.958,    1599.487,   5.034E-02,   2.796E-02,   7.021E-02,   1.945E-20
139, 647,     647.188,       4.938,    1591.965,   4.995E-02,   2.796E-02,   6.871E-02,   1.897E-20
140, 648,     648.435,       4.924,    1587.330,   4.956E-02,   2.795E-02,   6.727E-02,   1.756E-20
141, 650,     649.667,       4.950,    1583.703,   4.918E-02,   2.795E-02,   6.587E-02,   1.544E-20
142, 651,     650.913,       4.979,    1583.192,   4.880E-02,   2.795E-02,   6.453E-02,   1.328E-20
143, 652,     652.153,       4.941,    1577.931,   4.843E-02,   2.794E-02,   6.321E-02,   1.167E-20
144, 653,     653.388,       4.919,    1550.825,   4.807E-02,   2.794E-02,   6.192E-02,   1.068E-20
145, 655,     654.622,       4.939,    1516.090,   4.771E-02,   2.794E-02,   6.060E-02,   9.722E-21
146, 656,     655.869,       4.968,    1483.903,   4.733E-02,   2.793E-02,   5.922E-02,   8.807E-21
147, 657,     657.101,       4.977,    1478.289,   4.695E-02,   2.793E-02,   5.782E-02,   7.986E-21
148, 658,     658.340,       4.996,    1495.995,   4.658E-02,   2.793E-02,   5.648E-02,   7.170E-21
149, 660,     659.600,       5.007,    1526.741,   4.623E-02,   2.792E-02,   5.523E-02,   6.331E-21
150, 661,     660.833,       4.951,    1549.754,   4.590E-02,   2.792E-02,   5.404E-02,   5.542E-21
151, 662,     662.067,       4.963,    1554.722,   4.555E-02,   2.792E-02,   5.283E-02,   4.976E-21
152, 663,     663.300,       4.990,    1552.212,   4.521E-02,   2.791E-02,   5.158E-02,   4.897E-21
153, 665,     664.564,       4.980,    1550.254,   4.487E-02,   2.791E-02,   5.029E-02,   5.479E-21
154, 666,     665.795,       4.962,    1546.660,   4.453E-02,   2.791E-02,   4.895E-02,   6.640E-21
155, 667,     667.023,       4.953,    1543.853,   4.420E-02,   2.790E-02,   4.759E-02,   7.980E-21
156, 668,     668.263,       4.990,    1540.487,   4.387E-02,   2.790E-02,   4.622E-02,   9.022E-21
157, 670,     669.518,       4.982,    1534.776,   4.354E-02,   2.790E-02,   4.488E-02,   9.638E-21
158, 671,     670.755,       4.970,    1528.749,   4.321E-02,   2.789E-02,   4.356E-02,   9.943E-21
159, 672,     671.990,       4.997,    1522.908,   4.289E-02,   2.789E-02,   4.229E-02,   1.010E-20
160, 673,     673.245,       5.051,    1518.831,   4.257E-02,   2.789E-02,   4.107E-02,   1.027E-20
161, 675,     674.503,       5.000,    1516.099,   4.225E-02,   2.789E-02,   3.991E-02,   1.027E-20
162, 676,     675.731,       4.916,    1513.613,   4.194E-02,   2.788E-02,   3.879E-02,   9.926E-21
163, 677,     676.963,       4.948,    1511.599,   4.163E-02,   2.788E-02,   3.774E-02,   9.232E-21
164, 678,     678.208,       4.940,    1508.175,   4.132E-02,   2.788E-02,   3.675E-02,   8.304E-21
